player_id,player_name,ev_avg,la_avg,barrel_pct,xba,xwoba
669707,"Triolo, Jared",87.5,6.7,1.2,0.225,0.261
641933,"O'Neill, Tyler",88.3,23.8,5.9,0.195,0.278
677588,"Tena, José",92.1,10.8,9.5,0.236,0.292
596142,"Sánchez, Gary",87.7,15.3,10.7,0.23,0.371
643376,"Jansen, Danny",87.7,22.3,6.0,0.167,0.254
687221,"Rushing, Dalton",88.3,15.2,10.7,0.265,0.356
680728,"Del Castillo, Adrian",88.7,16.6,6.0,0.192,0.258
592206,"Castellanos, Nick",87.7,13.0,8.4,0.244,0.285
694362,"Dunn, Blake",88.8,12.1,3.7,0.232,0.268
621438,"Taylor, Tyrone",86.2,20.5,6.1,0.207,0.248
642708,"Rosario, Amed",90.3,12.1,11.0,0.251,0.327
543309,"Higashioka, Kyle",88.0,15.5,11.0,0.237,0.309
665966,"Narváez, Carlos",90.7,12.9,6.2,0.219,0.277
807713,"Shaw, Matt",86.4,14.8,4.9,0.251,0.299
696030,"Osuna, Alejandro",88.0,3.7,0.0,0.259,0.322
665877,"Fermín, José",85.6,17.9,1.2,0.223,0.262
624641,"Sosa, Edmundo",86.8,9.3,7.5,0.278,0.329
805811,"Eldridge, Bryce",92.0,14.2,12.5,0.306,0.404
595978,"Hedges, Austin",86.4,6.8,2.5,0.248,0.289
686452,"Millas, Drew",82.5,10.8,3.8,0.221,0.277
664954,"Sullivan, Brett",86.9,19.2,3.8,0.23,0.273
687637,"Beavers, Dylan",87.4,15.5,5.2,0.236,0.308
655316,"Monasterio, Andruw",87.8,20.8,6.5,0.236,0.284
701350,"Anthony, Roman",92.3,8.3,9.2,0.262,0.352
666971,"Gurriel Jr., Lourdes",87.5,11.9,6.7,0.232,0.29
641680,"Heim, Jonah",87.2,15.0,6.7,0.25,0.309
630105,"Cronenworth, Jake",87.4,7.1,5.4,0.218,0.304
596019,"Lindor, Francisco",90.9,14.8,9.5,0.253,0.34
669701,"Smith, Josh",87.9,17.8,5.5,0.225,0.3
664056,"Bader, Harrison",89.2,12.3,8.2,0.215,0.272
691777,"Muncy, Max",92.6,14.8,12.3,0.221,0.295
677950,"Thomas, Alek",89.9,11.7,8.3,0.235,0.292
665804,"Amaya, Miguel",85.7,19.5,8.3,0.197,0.305
669743,"Call, Alex",83.7,14.3,1.4,0.221,0.29
814439,"Waldschmidt, Ryan",86.8,16.2,8.3,0.237,0.289
686668,"Doyle, Brenton",87.8,6.7,5.6,0.195,0.248
805999,"Ewing, A.J.",89.1,11.6,5.6,0.279,0.335
680977,"Donovan, Brendan",85.9,14.8,4.3,0.263,0.345
667472,"Myers, Dane",90.2,19.6,8.6,0.279,0.376
691740,"Susac, Daniel",85.8,16.0,4.3,0.27,0.307
545341,"Grichuk, Randal",90.2,14.7,13.2,0.312,0.388
678489,"Barrosa, Jorge",85.7,17.8,5.9,0.149,0.207
673357,"Robert Jr., Luis",90.2,14.7,2.9,0.243,0.324
691788,"Mack, Joe",89.3,12.5,7.4,0.229,0.287
670242,"Wallner, Matt",88.4,8.1,10.4,0.2,0.281
681508,"Gasper, Mickey",89.1,16.3,4.5,0.226,0.276
642201,"White, Eli",87.6,5.0,7.5,0.263,0.311
686611,"Crews, Dylan",91.4,11.6,9.1,0.268,0.335
660844,"Rivas, Leo",86.2,20.2,1.5,0.15,0.239
660162,"Moncada, Yoán",90.3,15.8,7.6,0.169,0.27
622761,"Mateo, Jorge",90.5,11.9,10.8,0.283,0.346
669004,"Melendez, MJ",94.1,24.5,10.9,0.167,0.279
688363,"Pauley, Graham",83.3,23.2,3.1,0.15,0.19
669699,"Shewmake, Braden",89.5,13.7,6.3,0.236,0.282
623168,"Heineman, Tyler",82.4,11.1,1.6,0.195,0.224
666310,"Naylor, Bo",89.6,17.8,11.1,0.219,0.296
595879,"Báez, Javier",84.7,10.2,3.2,0.272,0.294
608701,"Refsnyder, Rob",87.3,20.1,8.1,0.173,0.259
624424,"Conforto, Michael",93.9,18.2,14.5,0.24,0.346
701678,"Lee, Hao-Yu ",88.4,19.3,11.5,0.223,0.287
691011,"Romo, Drew",84.3,12.4,8.2,0.191,0.275
663604,"Lockridge, Brandon",86.2,1.2,1.6,0.234,0.277
519317,"Stanton, Giancarlo",94.1,21.5,18.0,0.245,0.326
687597,"Beck, Jordan",85.3,14.2,3.3,0.224,0.26
694377,"Yorke, Nick",89.3,6.7,5.0,0.243,0.306
703607,"Bolte, Henry",92.1,0.8,3.3,0.224,0.289
676724,"Young, Jared",89.9,7.8,13.6,0.251,0.351
641598,"Garver, Mitch",89.6,18.3,6.9,0.192,0.301
666181,"Benson, Will",91.1,24.9,12.1,0.189,0.3
665561,"Marchán, Rafael",84.7,25.0,3.4,0.169,0.196
681807,"Fry, David",86.9,16.2,6.9,0.198,0.275
657136,"Wong, Connor",87.3,10.8,3.5,0.223,0.295
641584,"Fraley, Jake",84.1,23.0,8.8,0.203,0.277
656537,"Hill, Derek",89.8,15.9,8.9,0.219,0.283
641555,"Escarra, J.C.",89.3,10.6,3.6,0.204,0.256
663368,"Perkins, Blake",86.5,13.4,5.4,0.194,0.268
624428,"Frazier, Adam",83.5,15.6,1.8,0.175,0.237
676439,"Feduccia, Hunter",90.5,19.6,5.5,0.232,0.305
663330,"Jones, Jahmai",91.3,14.8,9.3,0.233,0.312
679822,"Foscue, Justin",90.0,18.1,9.3,0.284,0.361
683011,"Volpe, Anthony",85.1,16.5,3.8,0.217,0.292
677870,"Jiménez, Leo",91.2,4.2,5.7,0.26,0.327
640902,"Pereda, Jhonny",89.8,9.7,3.8,0.306,0.341
669397,"Allen, Nick",84.9,16.4,1.9,0.222,0.248
806068,"Emerson, Colt",86.4,18.2,5.8,0.159,0.233
457705,"McCutchen, Andrew",87.1,22.7,5.8,0.164,0.237
669289,"Espinal, Santiago",86.2,14.2,2.0,0.285,0.29
695336,"Saggese, Thomas",88.8,13.2,10.0,0.203,0.274
